Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
OMEGA-200mb global MERRA2,mbar/day,0.195,-0.103,0.298,11.68,9.885,7.253,0.787
OMEGA-500mb global MERRA2,mbar/day,0.012,0.052,-0.04,20.201,24.129,15.163,0.78
OMEGA-850mb global MERRA2,mbar/day,-0.017,0.125,-0.143,26.739,35.908,25.073,0.682
T-850mb global MERRA2,K,280.822,281.352,-0.53,10.533,10.683,1.057,0.997
T-200mb global MERRA2,K,217.679,218.869,-1.19,3.091,2.018,2.42,0.736
TAUXY ocean MERRA2,N/m^2,0.072,0.074,-0.002,0.059,0.055,0.018,0.953
CLDTOT_TAU1.3_ISCCP global ISCCPCOSP,%,46.489,51.181,-4.692,24.018,17.339,12.865,0.881
CLDTOT_TAU1.3_9.4_ISCCP global ISCCPCOSP,%,21.583,33.925,-12.342,9.133,10.944,15.942,0.506
CLDTOT_TAU9.4_ISCCP global ISCCPCOSP,%,24.906,17.256,7.65,16.902,10.384,13.129,0.797
CLDTOT_TAU1.3_MISR global MISRCOSP,%,46.472,51.892,-5.42,24.185,19.901,10.458,0.93
CLDTOT_TAU1.3_9.4_MISR global MISRCOSP,%,21.575,30.973,-9.397,9.233,8.71,10.764,0.839
CLDTOT_TAU9.4_MISR global MISRCOSP,%,24.897,20.919,3.977,17.042,12.582,9.674,0.898
CLDLOW_TAU1.3_MISR global MISRCOSP,%,25.074,29.841,-4.766,19.382,15.783,8.74,0.915
CLDLOW_TAU1.3_9.4_MISR global MISRCOSP,%,12.48,19.797,-7.317,9.294,8.581,7.833,0.876
CLDLOW_TAU9.4_MISR global MISRCOSP,%,12.594,10.044,2.551,11.318,8.084,7.023,0.859
CLDTOT_TAU1.3_MODIS global MODISCOSP,%,45.204,46.896,-1.691,23.623,21.081,11.718,0.871
CLDTOT_TAU1.3_9.4_MODIS global MODISCOSP,%,20.621,24.067,-3.446,8.888,8.941,8.934,0.572
CLDTOT_TAU9.4_MODIS global MODISCOSP,%,24.584,22.829,1.755,16.76,14.466,8.004,0.885
CLDHGH_TAU1.3_MODIS global MODISCOSP,%,15.469,21.058,-5.589,8.756,11.919,8.561,0.846
CLDHGH_TAU1.3_9.4_MODIS global MODISCOSP,%,7.113,10.675,-3.562,4.124,6.433,5.887,0.687
CLDHGH_TAU9.4_MODIS global MODISCOSP,%,8.355,10.382,-2.027,5.681,6.829,4.192,0.843
CLDTOT_CAL global CALIPSOCOSP,%,58.921,66.845,-7.924,21.488,15.845,14.417,0.832
