Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.2,mm/day,3.081,2.675,0.406,2.063,1.922,0.952,0.909
PRECT global GPCP_v2.3,mm/day,3.081,2.69,0.39,2.063,1.934,0.946,0.909
TREFHT land_60S90N CRU,DegC,13.503,12.883,0.62,11.805,13.1,2.201,0.991
SWCF global ceres_ebaf_toa_v4.0,W m-2,-49.458,-45.806,-3.652,20.536,20.576,10.134,0.894
LWCF global ceres_ebaf_toa_v4.0,W m-2,24.541,27.991,-3.45,10.434,12.282,6.525,0.894
SOLIN global ceres_ebaf_toa_v4.1,W m-2,340.291,340.267,0.024,72.719,72.726,0.315,1.0
ALBEDO global ceres_ebaf_toa_v4.1,dimensionless,0.333,0.314,0.02,0.128,0.12,0.039,0.965
ALBEDOC global ceres_ebaf_toa_v4.1,dimensionless,0.183,0.176,0.007,0.125,0.121,0.029,0.975
RESTOM global ceres_ebaf_toa_v4.1,W m-2,0.126,0.927,-0.8,54.358,56.014,8.009,0.99
FLUT global ceres_ebaf_toa_v4.1,W m-2,239.123,240.313,-1.19,30.409,29.746,5.494,0.984
FLUTC global ceres_ebaf_toa_v4.1,W m-2,263.664,266.126,-2.461,29.204,29.773,3.617,0.996
FSNTOA global ceres_ebaf_toa_v4.1,W m-2,239.249,241.24,-1.991,80.259,80.108,9.511,0.993
FSNTOAC global ceres_ebaf_toa_v4.1,W m-2,288.707,286.549,2.158,82.263,82.664,5.965,0.998
SWCF global ceres_ebaf_toa_v4.1,W m-2,-49.458,-45.309,-4.148,20.536,20.241,10.253,0.894
LWCF global ceres_ebaf_toa_v4.1,W m-2,24.541,25.813,-1.272,10.434,11.0,4.695,0.912
ALBEDO_SRF global ceres_ebaf_surface_v4.1,dimensionless,0.154,0.143,0.011,0.177,0.173,0.033,0.984
FLDS global ceres_ebaf_surface_v4.1,W m-2,346.767,345.466,1.301,62.214,66.27,10.703,0.988
FLDSC global ceres_ebaf_surface_v4.1,W m-2,318.365,317.799,0.566,74.267,76.288,6.251,0.997
FLNS global ceres_ebaf_surface_v4.1,W m-2,52.604,53.458,-0.854,19.48,17.711,9.762,0.867
FSDS global ceres_ebaf_surface_v4.1,W m-2,183.996,186.873,-2.877,59.234,55.401,13.208,0.977
FSDSC global ceres_ebaf_surface_v4.1,W m-2,243.412,240.978,2.433,50.183,48.271,6.076,0.994
FSNS global ceres_ebaf_surface_v4.1,W m-2,161.327,163.717,-2.39,63.4,61.844,11.267,0.985
LHFLX global OAFlux,W m-2,89.177,93.697,-4.52,53.996,37.492,24.788,0.952
SHFLX global OAFlux,W m-2,18.652,10.428,8.224,17.099,8.383,7.482,0.743
