Model,Net TOA,Net TOA,Net TOA,Net TOA,Net TOA,SW CRE,SW CRE,SW CRE,SW CRE,SW CRE,LW CRE,LW CRE,LW CRE,LW CRE,LW CRE,prec,prec,prec,prec,prec,tas land,tas land,tas land,tas land,tas land,SLP,SLP,SLP,SLP,SLP,u-200,u-200,u-200,u-200,u-200,u-850,u-850,u-850,u-850,u-850,Zg-500,Zg-500,Zg-500,Zg-500,Zg-500
,W m$^{-2}$,W m$^{-2}$,W m$^{-2}$,W m$^{-2}$,W m$^{-2}$,W m$^{-2}$,W m$^{-2}$,W m$^{-2}$,W m$^{-2}$,W m$^{-2}$,W m$^{-2}$,W m$^{-2}$,W m$^{-2}$,W m$^{-2}$,W m$^{-2}$,mm day$^{-1}$,mm day$^{-1}$,mm day$^{-1}$,mm day$^{-1}$,mm day$^{-1}$,K,K,K,K,K,hPa,hPa,hPa,hPa,hPa,m s$^{-1}$,m s$^{-1}$,m s$^{-1}$,m s$^{-1}$,m s$^{-1}$,m s$^{-1}$,m s$^{-1}$,m s$^{-1}$,m s$^{-1}$,m s$^{-1}$,hm,hm,hm,hm,hm
,ANN,DJF,MAM,JJA,SON,ANN,DJF,MAM,JJA,SON,ANN,DJF,MAM,JJA,SON,ANN,DJF,MAM,JJA,SON,ANN,DJF,MAM,JJA,SON,ANN,DJF,MAM,JJA,SON,ANN,DJF,MAM,JJA,SON,ANN,DJF,MAM,JJA,SON,ANN,DJF,MAM,JJA,SON
E3SM-1-0,8.009,10.992,9.381,11.934,8.958,10.253,11.78,12.049,16.942,11.565,4.695,5.944,5.577,5.978,5.851,0.946,1.207,1.044,1.352,1.082,2.094,3.385,2.447,2.335,2.461,2.964,2.524,3.053,3.637,3.181,2.027,2.862,2.523,2.893,2.159,1.42,1.605,1.605,1.9,1.503,0.207,0.174,0.24,0.291,0.229
E3SM-2-0,7.71,12.1,8.744,11.659,9.056,9.214,11.772,11.442,15.802,10.364,4.795,6.85,5.762,6.03,5.656,0.89,1.136,0.934,1.315,1.057,2.187,3.109,2.754,2.62,2.556,2.567,3.032,2.852,2.765,2.772,2.261,3.67,2.804,3.151,2.428,1.161,1.558,1.359,1.786,1.322,0.184,0.231,0.23,0.239,0.206
EC-Earth3-AerChem,11.246,15.861,13.082,13.043,11.995,10.185,14.084,11.441,12.027,12.438,4.055,5.384,5.081,5.88,4.511,0.833,1.039,0.949,1.239,0.968,1.757,2.004,2.614,1.83,1.671,0.746,1.117,0.921,1.197,0.917,1.519,2.211,1.791,2.678,1.826,0.721,0.996,0.818,1.085,0.826,0.142,0.179,0.169,0.181,0.133
EC-Earth3-CC,11.354,15.997,12.602,13.578,12.657,10.639,14.722,11.569,12.919,12.934,4.138,5.687,5.037,6.214,4.862,0.806,1.032,0.894,1.192,0.971,1.736,2.0,2.598,1.914,1.691,0.732,1.221,0.86,1.123,0.876,1.497,2.499,1.641,2.583,1.812,0.737,1.08,0.801,1.092,0.849,0.116,0.154,0.15,0.16,0.114
EC-Earth3-Veg-LR,11.8,16.145,12.811,14.006,12.899,11.808,15.514,12.39,14.454,13.965,4.189,5.699,5.114,6.449,4.933,0.799,1.023,0.874,1.23,0.941,1.9,2.215,2.71,2.067,1.88,0.852,1.119,0.994,1.555,1.142,1.783,2.399,1.827,3.254,2.102,0.812,1.092,0.849,1.3,0.964,0.146,0.167,0.175,0.209,0.154
EC-Earth3-Veg,11.3,15.851,12.508,13.613,12.581,10.613,14.626,11.659,12.778,12.876,4.139,5.459,5.258,6.131,4.827,0.805,1.027,0.911,1.183,0.944,1.719,1.985,2.491,1.882,1.679,0.713,1.112,0.901,1.141,0.882,1.518,2.254,1.738,2.567,1.754,0.708,0.968,0.814,1.075,0.808,0.118,0.149,0.149,0.16,0.116
EC-Earth3,11.337,15.952,12.472,13.694,12.614,10.604,14.681,11.5,12.792,12.873,4.082,5.522,5.0,6.218,4.81,0.797,1.02,0.885,1.202,0.945,1.728,2.001,2.545,1.911,1.668,0.737,1.17,0.863,1.313,0.974,1.511,2.309,1.58,2.776,1.786,0.71,1.016,0.751,1.163,0.844,0.119,0.152,0.151,0.176,0.12
FGOALS-f3-L,--,--,--,--,--,12.689,16.765,13.619,15.671,15.364,9.169,10.384,9.132,9.921,9.947,1.392,1.547,1.326,2.154,1.652,1.954,2.454,2.429,2.752,2.349,3.013,3.385,3.107,3.095,3.386,3.517,4.163,3.26,4.414,4.379,1.43,1.778,1.453,2.23,1.861,0.261,0.292,0.29,0.286,0.281
FGOALS-g3,10.779,13.115,12.959,14.224,12.771,--,--,--,--,--,6.96,8.763,8.247,10.339,8.371,1.288,1.579,1.487,1.977,1.46,2.044,2.632,2.591,2.771,2.17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.19,0.221,0.21,0.291,0.223
FIO-ESM-2-0,9.466,13.11,10.103,11.701,10.446,--,--,--,--,--,--,--,--,--,--,1.113,1.36,1.244,1.683,1.235,2.258,2.592,2.574,2.875,2.345,1.916,2.449,1.922,2.114,2.098,2.145,3.07,2.463,2.773,2.451,1.213,1.636,1.255,1.559,1.261,0.219,0.25,0.208,0.285,0.242
GFDL-AM4,6.923,8.57,7.961,10.406,8.846,8.37,10.257,9.292,12.963,10.693,4.263,6.009,4.989,6.619,5.404,0.86,1.087,0.918,1.311,1.121,1.506,2.537,1.834,1.892,1.592,2.203,1.948,2.439,2.738,2.587,1.464,1.813,1.667,2.362,2.24,0.928,1.238,0.875,1.434,1.155,0.133,0.158,0.154,0.183,0.169
GFDL-CM4,7.176,8.49,8.073,11.053,8.935,8.336,9.995,9.18,13.099,10.486,4.337,6.021,5.004,6.653,5.379,0.847,1.093,0.897,1.321,1.097,1.498,1.963,1.818,1.964,1.596,2.242,2.037,2.515,2.76,2.428,1.464,1.777,1.686,2.423,2.229,0.887,1.152,0.883,1.407,1.117,0.142,0.158,0.163,0.19,0.169
GFDL-ESM4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.836,1.083,0.941,1.296,1.063,1.616,2.129,2.141,1.915,1.671,2.431,2.386,2.6,2.736,2.755,1.654,1.959,1.866,2.58,2.453,0.956,1.271,1.027,1.447,1.15,0.159,0.177,0.177,0.196,0.197
GISS-E2-1-G,11.77,13.605,13.016,15.894,14.574,13.465,15.801,15.004,16.842,17.467,7.494,8.89,8.101,9.525,8.833,1.414,1.512,1.512,2.355,1.755,2.059,2.9,2.177,2.837,2.475,2.149,2.543,2.147,2.745,2.586,4.757,5.013,3.877,6.708,6.129,1.436,1.603,1.431,2.135,1.882,0.35,0.382,0.373,0.387,0.348
IITM-ESM,--,--,--,--,--,23.911,28.611,24.974,26.07,26.003,9.442,12.862,11.072,10.203,9.275,1.531,1.949,1.742,1.995,1.56,3.169,4.107,3.483,3.028,3.037,2.842,3.666,3.048,3.016,2.898,4.67,7.275,5.599,4.18,4.691,1.516,2.354,1.859,1.542,1.618,0.27,0.361,0.307,0.251,0.262
INM-CM4-8,11.938,13.729,13.401,15.392,14.576,12.352,15.443,12.892,16.188,16.333,7.325,8.676,8.201,9.433,8.847,1.1,1.354,1.21,1.608,1.318,2.623,2.979,3.034,3.653,2.865,2.009,2.449,2.168,2.836,2.183,3.079,4.207,3.596,4.117,3.867,1.585,1.956,1.64,2.08,1.733,0.292,0.346,0.304,0.314,0.307
INM-CM5-0,11.83,13.673,13.546,15.451,14.435,11.937,14.89,12.1,16.496,16.242,7.063,8.443,7.736,9.478,9.0,1.116,1.413,1.202,1.647,1.444,2.58,2.987,3.035,3.522,2.905,1.851,2.027,2.004,2.828,1.981,2.936,3.498,3.074,4.184,4.169,1.43,1.618,1.505,1.999,1.648,0.261,0.312,0.28,0.288,0.267
IPSL-CM6A-LR,9.994,13.675,11.524,13.028,11.604,11.489,14.341,12.72,15.457,14.507,4.813,5.991,5.837,7.678,5.897,1.566,1.835,1.658,1.979,1.78,2.344,2.577,3.118,2.901,2.2,2.184,2.226,2.72,3.006,2.135,2.639,2.56,2.838,4.53,3.385,1.154,1.56,1.139,1.597,1.394,0.443,0.45,0.458,0.478,0.434
KIOST-ESM,--,--,--,--,--,12.889,15.718,14.581,20.916,14.994,--,--,--,--,--,1.156,1.352,1.308,1.661,1.263,--,--,--,--,--,3.036,2.752,3.258,3.788,3.392,2.783,3.568,3.679,3.808,2.733,1.763,2.019,1.892,2.302,2.06,--,--,--,--,--
MIROC6,11.547,13.093,12.195,15.866,13.285,20.182,20.954,20.523,24.819,21.846,6.027,6.391,6.941,8.29,6.627,1.433,1.603,1.518,2.24,1.589,4.247,4.628,3.949,5.416,4.585,3.392,3.708,3.504,3.466,3.556,2.289,3.342,3.025,3.189,2.819,1.16,1.437,1.355,1.732,1.419,0.197,0.255,0.253,0.234,0.195
MPI-ESM-1-2-HAM,--,--,--,--,--,12.926,14.897,16.352,18.935,14.099,8.451,9.315,10.191,10.061,9.081,1.485,1.624,1.646,2.227,1.704,2.179,2.62,2.447,2.533,2.272,1.872,1.97,2.045,2.591,2.03,3.245,3.267,3.813,4.861,3.331,1.133,1.412,1.281,1.616,1.252,0.144,0.176,0.166,0.214,0.155
MPI-ESM1-2-HR,--,--,--,--,--,10.61,12.805,13.055,16.242,12.306,6.541,7.744,7.473,8.771,7.179,1.093,1.304,1.241,1.779,1.28,1.9,2.301,2.035,2.364,1.921,1.534,1.514,1.77,2.172,1.705,1.942,2.377,2.164,3.033,2.282,0.938,1.191,1.027,1.427,1.057,0.195,0.186,0.18,0.274,0.211
MPI-ESM1-2-LR,--,--,--,--,--,11.446,13.837,13.784,18.112,13.065,6.446,7.73,7.851,9.143,7.029,1.164,1.423,1.293,1.899,1.369,2.358,2.888,2.497,2.735,2.385,1.745,1.743,2.031,2.442,2.07,2.943,3.664,3.153,3.992,3.058,1.121,1.378,1.246,1.637,1.262,0.2,0.191,0.199,0.29,0.223
MRI-ESM2-0,--,--,--,--,--,8.528,10.412,9.735,11.73,10.716,4.561,6.311,5.41,6.303,5.113,0.965,1.298,1.151,1.316,1.143,1.695,2.413,1.905,2.08,1.883,1.619,1.757,1.924,1.732,2.004,2.081,2.224,2.644,2.932,2.392,0.984,1.359,1.116,1.289,1.109,0.164,0.199,0.192,0.202,0.197
NESM3,--,--,--,--,--,12.426,14.79,14.983,19.398,15.807,7.535,9.134,9.15,10.624,9.482,1.259,1.425,1.307,2.238,1.647,2.41,2.878,2.615,2.841,2.629,1.725,1.694,1.841,2.938,2.035,6.055,5.346,5.505,8.448,6.914,1.232,1.401,1.249,2.025,1.501,0.224,0.208,0.207,0.366,0.276
NorCPM1,10.328,12.496,11.42,15.148,11.848,17.87,21.04,18.167,23.49,19.136,7.555,9.555,8.256,10.725,8.25,1.075,1.46,1.206,1.707,1.351,2.556,2.979,2.869,3.105,2.65,2.549,3.307,2.663,2.714,2.805,2.752,3.794,3.335,3.747,3.115,2.071,2.671,2.268,2.392,2.146,0.254,0.302,0.25,0.326,0.272
NorESM2-LM,9.031,13.605,10.96,14.298,10.906,11.453,15.305,12.346,17.28,13.755,6.691,8.837,8.46,7.933,7.266,0.99,1.156,1.076,1.736,1.153,2.634,3.035,2.958,3.123,3.03,2.388,2.639,2.685,2.925,2.44,3.271,3.18,4.21,4.962,3.244,1.495,1.817,1.859,2.215,1.563,0.262,0.252,0.293,0.33,0.264
SAM0-UNICON,8.448,11.338,9.944,11.617,9.456,9.69,11.962,10.636,13.68,12.274,5.921,8.893,7.016,7.402,7.103,1.019,1.323,1.186,1.391,1.154,2.15,2.287,2.473,2.771,2.296,1.84,2.275,1.834,1.96,2.29,2.219,2.943,2.836,3.14,2.979,1.151,1.604,1.3,1.412,1.37,0.295,0.305,0.278,0.332,0.345
TaiESM1,9.219,13.257,10.27,11.475,10.349,12.042,16.128,12.58,15.153,14.761,5.948,7.446,6.424,7.451,6.856,1.075,1.332,1.194,1.611,1.159,2.345,2.621,2.625,3.004,2.392,1.771,2.04,1.839,2.084,1.95,1.88,2.683,2.269,2.622,2.227,1.176,1.454,1.217,1.668,1.246,0.192,0.195,0.191,0.262,0.212
