Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.2,mm/day,3.066,2.648,0.418,2.12,2.04,1.159,0.866
PRECT global GPCP_v2.3,mm/day,3.066,2.664,0.402,2.12,2.066,1.044,0.894
TREFHT land_60S90N CRU,DegC,12.957,999.999,999.999,12.896,999.999,999.999,999.999
SWCF global ceres_ebaf_toa_v4.0,W m-2,-46.828,-42.909,-3.92,23.611,22.69,12.139,0.878
LWCF global ceres_ebaf_toa_v4.0,W m-2,24.905,28.396,-3.49,11.134,13.079,7.51,0.861
SOLIN global ceres_ebaf_toa_v4.1,W m-2,338.282,338.181,0.101,100.533,101.37,1.984,1.0
ALBEDO global ceres_ebaf_toa_v4.1,dimensionless,0.331,0.319,0.012,0.14,0.134,0.037,0.968
ALBEDOC global ceres_ebaf_toa_v4.1,dimensionless,0.185,0.185,-0.0,0.14,0.139,0.033,0.972
RESTOM global ceres_ebaf_toa_v4.1,W m-2,0.851,1.447,-0.596,70.975,72.038,9.381,0.992
FLUT global ceres_ebaf_toa_v4.1,W m-2,237.859,239.311,-1.451,32.243,30.957,6.72,0.979
FLUTC global ceres_ebaf_toa_v4.1,W m-2,262.765,265.385,-2.621,31.066,31.357,4.169,0.995
FSNTOA global ceres_ebaf_toa_v4.1,W m-2,238.71,240.758,-2.048,96.249,94.641,11.485,0.993
FSNTOAC global ceres_ebaf_toa_v4.1,W m-2,285.538,283.237,2.301,100.793,100.049,9.172,0.996
SWCF global ceres_ebaf_toa_v4.1,W m-2,-46.828,-42.479,-4.349,23.611,22.041,12.049,0.881
LWCF global ceres_ebaf_toa_v4.1,W m-2,24.905,26.074,-1.169,11.134,11.668,5.577,0.887
ALBEDO_SRF global ceres_ebaf_surface_v4.1,dimensionless,0.159,0.15,0.009,0.203,0.197,0.039,0.982
FLDS global ceres_ebaf_surface_v4.1,W m-2,345.444,344.544,0.899,65.467,69.454,11.457,0.987
FLDSC global ceres_ebaf_surface_v4.1,W m-2,317.353,317.399,-0.046,78.256,79.638,6.719,0.997
FLNS global ceres_ebaf_surface_v4.1,W m-2,53.076,54.307,-1.232,20.311,18.906,10.723,0.855
FSDS global ceres_ebaf_surface_v4.1,W m-2,185.119,188.039,-2.921,74.741,71.25,16.548,0.976
FSDSC global ceres_ebaf_surface_v4.1,W m-2,242.453,239.269,3.184,72.998,70.784,7.147,0.997
FSNS global ceres_ebaf_surface_v4.1,W m-2,161.448,163.619,-2.171,74.884,71.726,13.406,0.985
LHFLX global OAFlux,W m-2,89.15,90.824,-1.675,53.693,41.275,25.2,0.942
SHFLX global OAFlux,W m-2,19.011,9.391,9.619,18.108,7.754,9.329,0.557
LHFLX global ERA5,W m-2,89.15,82.546,6.604,53.693,50.711,14.413,0.971
SHFLX global ERA5,W m-2,19.011,17.594,1.417,18.108,19.768,9.268,0.887
PSL global ERA5,mbar,1011.345,1011.414,-0.068,10.064,7.991,3.053,0.969
FSNS global ERA5,W m-2,161.448,163.368,-1.92,74.884,70.897,14.371,0.982
FLNS global ERA5,W m-2,53.076,58.626,-5.55,20.311,19.943,11.202,0.883
NET_FLUX_SRF global ERA5,W m-2,0.212,4.602,-4.39,45.023,46.188,17.414,0.932
PRECT global ERA5,mm/day,3.065,2.874,0.191,2.136,2.367,1.096,0.89
TMQ global ERA5,kg/m2,24.765,24.113,0.652,14.748,15.405,2.08,0.992
U-850mb global ERA5,m s-1,1.049,0.98,0.069,6.5,5.447,1.605,0.978
U-200mb global ERA5,m s-1,17.226,17.059,0.167,11.672,11.997,2.523,0.978
Z3-500mb global ERA5,hectometer,56.497,56.572,-0.075,2.771,2.604,0.24,0.998
OMEGA-200mb global ERA5,mbar/day,0.171,0.01,0.162,10.981,11.429,8.897,0.686
OMEGA-500mb global ERA5,mbar/day,-0.311,0.007,-0.318,21.518,29.636,23.958,0.602
OMEGA-850mb global ERA5,mbar/day,0.385,4.277,-3.892,32.2,64.921,53.909,0.445
T-850mb global ERA5,K,280.74,281.035,-0.295,10.526,11.714,1.285,0.997
T-200mb global ERA5,K,218.12,218.721,-0.601,2.867,2.057,2.103,0.711
TAUXY ocean ERA5,N/m^2,0.081,0.066,0.014,0.057,0.052,0.028,0.91
LHFLX global MERRA2,W m-2,89.15,83.475,5.674,53.693,52.855,15.597,0.963
SHFLX global MERRA2,W m-2,19.011,19.655,-0.644,18.108,23.561,12.255,0.859
PSL global MERRA2,mbar,1011.345,1010.968,0.377,10.064,8.272,2.807,0.973
FSNS global MERRA2,W m-2,161.448,163.781,-2.333,74.884,72.85,17.294,0.973
FLNS global MERRA2,W m-2,53.076,62.675,-9.599,20.311,19.328,12.899,0.907
NET_FLUX_SRF global MERRA2,W m-2,0.212,-2.024,2.237,45.023,44.367,18.645,0.914
PRECT global MERRA2,mm/day,3.065,2.903,0.162,2.136,2.832,1.699,0.804
TMQ global MERRA2,kg/m2,24.765,24.874,-0.109,14.748,15.842,2.023,0.994
U-850mb global MERRA2,m s-1,1.049,0.839,0.21,6.5,5.745,1.495,0.979
U-200mb global MERRA2,m s-1,17.226,17.524,-0.298,11.672,11.761,2.492,0.978
Z3-500mb global MERRA2,hectometer,56.497,56.561,-0.064,2.771,2.604,0.236,0.998
OMEGA-200mb global MERRA2,mbar/day,0.171,-0.107,0.278,10.981,9.995,7.23,0.767
OMEGA-500mb global MERRA2,mbar/day,-0.311,0.046,-0.357,21.518,25.951,19.803,0.667
OMEGA-850mb global MERRA2,mbar/day,0.385,0.125,0.26,32.2,35.908,29.27,0.603
T-850mb global MERRA2,K,280.74,281.352,-0.612,10.526,10.683,1.085,0.997
T-200mb global MERRA2,K,218.12,218.869,-0.75,2.867,2.02,2.203,0.691
TAUXY ocean MERRA2,N/m^2,0.081,0.074,0.007,0.057,0.055,0.021,0.934
TREFHT global ERA5,DegC,14.307,14.242,0.066,14.776,14.915,1.417,0.996
TREFHT land ERA5,DegC,8.132,8.693,-0.561,19.851,20.187,2.447,0.993
TREFHT global MERRA2,DegC,14.307,14.291,0.016,14.776,15.292,1.272,0.997
TREFHT land MERRA2,DegC,8.132,8.056,0.076,19.851,20.905,2.199,0.995
PminusE global GPCP_OAFLux,mm/day,-0.014,-0.111,0.097,2.307,2.261,0.991,0.919
PminusE global COREv2_Flux,mm/day,-0.014,-0.245,0.231,2.324,2.189,1.135,0.888
