Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.924,2.685,0.239,2.527,2.214,1.269,0.87
RESTOM global ceres_ebaf_toa_v4.1,W/m2,1.87,1.984,-0.114,71.904,73.723,10.657,0.99
SWCF global ceres_ebaf_toa_v4.1,W/m2,-47.485,-46.398,-1.087,27.186,25.823,12.692,0.887
LWCF global ceres_ebaf_toa_v4.1,W/m2,23.625,25.676,-2.051,12.666,12.27,6.569,0.875
U-850mb global ERA-Interim,m/s,1.242,1.173,0.07,6.196,5.602,1.35,0.978
U-200mb global ERA-Interim,m/s,17.006,15.732,1.274,12.659,13.148,3.104,0.977
Z3-500mb global ERA-Interim,hectometer,56.46,56.594,-0.134,2.758,2.691,0.229,0.998
PSL global ERA-Interim,mbar,1011.252,1011.255,-0.003,10.525,8.892,2.606,0.978
PSL global ERA5,mbar,1011.252,1011.349,-0.096,10.525,8.787,2.767,0.975
U-850mb global ERA5,m/s,1.242,1.152,0.09,6.196,5.583,1.398,0.976
U-200mb global ERA5,m/s,17.006,15.697,1.309,12.659,13.064,3.104,0.977
Z3-500mb global ERA5,hectometer,56.46,56.582,-0.123,2.758,2.678,0.225,0.998
TREFHT land ERA-Interim,DegC,8.627,9.238,-0.612,18.455,18.898,2.137,0.995
TREFHT global ERA-Interim,DegC,14.065,14.456,-0.391,13.687,14.166,1.752,0.993
TREFHT land ERA5,DegC,8.627,9.272,-0.645,18.455,19.099,2.447,0.993
TREFHT global ERA5,DegC,14.065,14.289,-0.224,13.687,14.204,1.81,0.992
