Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.085,2.715,0.37,2.719,2.517,1.571,0.833
TREFHT land_60S90N CRU,DegC,19.279,19.563,-0.284,8.222,8.254,1.709,0.979
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-7.794,-7.507,-0.287,87.733,86.711,13.423,0.988
SWCF global ceres_ebaf_toa_v4.1,W m-2,-48.293,-43.231,-5.062,32.284,29.958,16.633,0.873
LWCF global ceres_ebaf_toa_v4.1,W m-2,25.097,25.664,-0.568,14.367,14.323,7.378,0.869
U-850mb global ERA-Interim,m s-1,1.375,1.139,0.237,6.727,5.817,1.823,0.968
U-200mb global ERA-Interim,m s-1,14.73,12.972,1.757,15.222,16.055,3.56,0.982
Z3-500mb global ERA-Interim,hectometer,56.751,56.891,-0.139,2.788,2.614,0.288,0.998
PSL global ERA-Interim,mbar,1011.073,1011.175,-0.102,10.964,8.534,3.577,0.963
PSL global ERA5,mbar,1011.073,1011.256,-0.183,10.964,8.477,3.668,0.961
U-850mb global ERA5,m s-1,1.375,1.146,0.229,6.727,5.842,1.853,0.966
U-200mb global ERA5,m s-1,14.73,12.915,1.814,15.222,15.99,3.609,0.981
Z3-500mb global ERA5,hectometer,56.751,56.885,-0.133,2.788,2.605,0.289,0.998
TREFHT land ERA-Interim,DegC,13.477,14.28,-0.803,20.131,20.329,1.979,0.996
TREFHT global ERA-Interim,DegC,15.817,16.115,-0.298,14.084,14.298,1.602,0.994
TREFHT land ERA5,DegC,13.477,14.385,-0.907,20.131,20.048,2.407,0.994
TREFHT global ERA5,DegC,15.817,16.007,-0.19,14.084,14.176,1.731,0.993
