Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.953,2.69,0.263,2.095,1.934,1.008,0.886
TREFHT land_60S90N CRU,DegC,11.813,12.929,-1.116,12.66,13.088,2.164,0.99
RESTOM global ceres_ebaf_toa_v4.1,W/m2,0.274,0.927,-0.652,54.032,56.014,8.57,0.989
SWCF global ceres_ebaf_toa_v4.1,W/m2,-47.413,-45.309,-2.104,21.131,20.241,10.442,0.879
LWCF global ceres_ebaf_toa_v4.1,W/m2,23.784,25.813,-2.029,10.64,11.0,5.41,0.893
U-850mb global ERA-Interim,m/s,1.19,1.097,0.093,5.902,5.4,1.165,0.982
U-200mb global ERA-Interim,m/s,16.727,15.687,1.041,11.481,12.316,3.005,0.974
Z3-500mb global ERA-Interim,hectometer,56.452,56.618,-0.167,2.623,2.575,0.249,0.998
PSL global ERA-Interim,mbar,1011.341,1011.301,0.04,9.634,8.142,2.321,0.98
PSL global ERA5,mbar,1011.341,1011.389,-0.047,9.634,8.067,2.462,0.977
U-850mb global ERA5,m/s,1.19,1.081,0.109,5.902,5.412,1.181,0.981
U-200mb global ERA5,m/s,16.727,15.654,1.073,11.481,12.247,2.982,0.975
Z3-500mb global ERA5,hectometer,56.452,56.608,-0.156,2.623,2.566,0.241,0.998
TREFHT land ERA-Interim,DegC,7.571,8.818,-1.247,18.231,18.687,2.384,0.995
TREFHT global ERA-Interim,DegC,13.758,14.411,-0.653,13.873,14.115,1.874,0.992
TREFHT land ERA5,DegC,7.571,8.93,-1.359,18.231,18.81,2.596,0.993
TREFHT global ERA5,DegC,13.758,14.267,-0.509,13.873,14.112,1.899,0.992
