12924	12924	12924	12924	12924	12924	12924	12924	12924	12924	12924
176078.201	175698.9992	174940.5957	179329.2386	186042.3073	195079.802	204527.9833	210704.5717	213609.567	214959.5354	216309.5038
230063	230465.4333	231270.3	230450.1	228880.9333	226562.8	224017	222523.2667	222081.6	222065.6667	222049.7333
1986	1986	1986	1986	1986	1986	1986	1986	1986	1986	1986
52517.6413	59863.91785	74556.47096	107004.4037	143330.6539	183535.2215	219392.8984	249901.8723	275062.143	296407.2022	317752.2614
15263.74	15153.7	14933.62	14204.21333	13324.16	12293.46	11426.47333	10676.18	10042.58	9507.6	8972.62
7077.96	7077.96	7077.96	7077.96	7077.96	7077.96	7077.96	7077.96	7077.96	7077.96	7077.96
101049.75	102622.4604	105767.8812	109510.3474	113355.7873	117304.201	121198.5477	124172.9907	126227.53	127702.9647	129178.3993
53869.93	53627.63	53143.03	52379.97667	51451.03333	50356.2	49198.65333	48117.46	47112.62	46411.14667	45709.67333
1358.03	1358.03	1358.03	1358.03	1358.03	1358.03	1358.03	1358.03	1358.03	1358.03	1358.03
4178.3827	4282.348771	4490.280912	4672.670215	4832.263147	4969.05971	5115.785137	5240.748813	5343.95074	5434.971073	5525.991407
315.1298	313.5012667	310.2442	307.1196	304.5530333	302.5445	299.3315	295.3807	290.6921	286.7455667	282.7990333
748	748	748	748	748	748	748	748	748	748	748
53232.7147	51124.79255	46908.94824	48986.69906	53782.80171	61297.2562	69808.83207	74955.17533	76736.286	77491.1006	78245.9152
407948.6	409576.1333	412831.2	412561.4	410539.3333	406765	401988.3333	398898.4333	397495.3	396500.7667	395506.2333
7594	7594	7594	7594	7594	7594	7594	7594	7594	7594	7594
204920.82	203774.2472	201481.1015	226504.6832	262545.7093	309604.18	361962.1853	401459.9537	428097.485	450962.797	473828.109
359807.8	359773.3667	359704.5	353767.9	345485.7333	334858	323002.6	313983.3667	307800.3	302517.1667	297234.0333
1686	1686	1686	1686	1686	1686	1686	1686	1686	1686	1686
203292.69	203657.505	204387.135	219472.7317	240990.1567	268939.41	294806.2033	310680.9933	316563.78	318269.5867	319975.3933
496464.3	496739.8667	497291	487413	472930.6667	453844	436113.3333	424993.8	420485.4	418576.6667	416667.9333
1803	1803	1803	1803	1803	1803	1803	1803	1803	1803	1803
32881.572	34390.16274	37407.34423	40551.96234	43391.2716	45925.272	48554.58067	50283.29417	51111.4125	51496.0949	51880.7773
181991.72	181056.58	179186.3	177210.9667	175429.8	173842.8	172159.4667	171057.0333	170535.5	170280.7667	170026.0333
1904	1904	1904	1904	1904	1904	1904	1904	1904	1904	1904
239682.77	241699.242	245732.186	288941.2529	350789.9338	431278.2286	526125.2762	594785.3043	637258.313	673200.8817	709143.4503
884252.3	884058.5333	883671	863772.3333	834220	795014	749249.3333	715965.3333	695162	676216.6667	657271.3333
3484	3484	3484	3484	3484	3484	3484	3484	3484	3484	3484
166890.89	165444.09	162550.49	176902.924	199232.093	229537.997	265341.951	289525.2947	302088.0281	312498.896	322914.3233
552083	559015	572879	581818.3333	587619	590281	589024.3333	591252.3333	596965	598163	599361
1635	1635	1635	1635	1635	1635	1635	1635	1635	1635	1635
139612.48	145371.7163	156890.189	166523.763	174586.5033	181078.41	189376.43	194829.6667	197438.12	199146.3933	200854.6667
52597	54756.42333	59075.27	62049.88333	64253.01333	65684.66	65479.45333	65113.28333	64586.15	63337.07	62087.99
1429.01	1429.01	1429.01	1429.01	1429.01	1429.01	1429.01	1429.01	1429.01	1429.01	1429.01
68882.7612	69504.39539	70747.66377	72202.92566	73677.80917	75172.31432	76672.36683	77796.57395	78544.93568	79106.54674	79668.1578
32151.85	31973.45667	31616.67	31207.25667	30794.06333	30377.09	29956.48333	29637.62	29420.5	29256.89333	29093.28667
424.116	424.116	424.116	424.116	424.116	424.116	424.116	424.116	424.116	424.116	424.116
1894.7717	1964.117933	2102.8104	2209.540257	2289.25764	2341.96255	2396.952983	2447.799739	2494.502817	2539.1505	2583.798184
20.00313	20.24624	20.73246	20.49523333	19.89362333	18.92763	19.05843	18.86940333	18.36055	17.93758333	17.51461667
875	875	875	875	875	875	875	875	875	875	875
186040.9	191260.9407	201701.0222	208058.6901	212235.8593	214232.53	216428.0833	218252.35	219705.33	221011.6233	222317.9167
10188.501	10308.77167	10549.313	10472.43233	10429.15733	10419.488	10195.24333	9918.835	9590.263	9171.661	8753.059
