#	tau	N	epsilon
A	104.5	48.1	14.17
B	75.5	26.3	27.8
C	80	54.7	9.35
D	62.6	38.6	12.08
E	48.8	22.2	24.58
F	37.4	49	2.12
G	24.6	17.2	12.16
