cell_lat,cell_long,note,ibt,dncell1_lat,dncell1_long,ratio1,demand1,dncell2_lat,dncell2_long,ratio2,demand2,cell_id,dncell1_id,dncell2_id
42.087,284.679,Cannonsville,0,-9999,-9999,0.1,-9999,41.7631,285.575,0.9,-9999,4430,4382,14601
42.0889,285.125,Pepacton,0,-9999,-9999,0.5,-9999,41.7631,285.575,0.5,-9999,16425,6133,14601
41.8622,285.33,Neversink,0,-9999,-9999,0.5,-9999,41.7631,285.575,0.5,-9999,7286,4379,14601
40.4,284.96,DR cannel,0,-9999,-9999,0.4,-9999,40.5287,285.546,0.6,-9999,4642,4644,3508
