   -.47757E-01     1  1     .44485E-27
   -.26460E+00     2  1     .61177E-28
   -.47965E-01     2  2     .17541E-26
   -.82258E+00     3  1     .21848E-27
   -.26760E+00     3  2     .38305E-27
   -.20453E-01     3  3     .25739E-26
   -.19050E+01     4  1     .76990E-27
   -.82072E+00     4  2     .13604E-26
   -.11992E+00     4  3     .23890E-26
    .78909E-01     4  4     .52169E-25
   -.39171E+01     5  1     .28173E-26
   -.18915E+01     5  2     .48901E-26
   -.33270E+00     5  3     .84230E-26
    .41936E+00     5  4     .14824E-25
    .34801E+00     5  5     .87935E-24
   -.76415E+01     6  1     .10807E-25
   -.38808E+01     6  2     .18196E-25
   -.73737E+00     6  3     .31062E-25
    .14121E+01     6  4     .51763E-25
    .18851E+01     6  5     .91364E-25
    .99793E+00     6  6     .99683E-23
   -.14595E+02     7  1     .42464E-25
   -.75638E+01     7  2     .70076E-25
   -.14861E+01     7  3     .11799E-24
    .33598E+01     7  4     .19733E-24
    .61219E+01     7  5     .31492E-24
    .54314E+01     7  6     .55802E-24
    .24751E+01     7  7     .98373E-22
   -.27720E+02     8  1     .16832E-24
   -.14442E+02     8  2     .27473E-24
   -.28741E+01     8  3     .45660E-24
    .69895E+01     8  4     .76886E-24
    .14394E+02     8  5     .12538E-23
    .17479E+02     8  6     .18895E-23
    .13500E+02     8  7     .33663E-23
    .57110E+01     8  8     .90526E-21
   -.52737E+02     9  1     .66933E-24
   -.27428E+02     9  2     .10852E-23
   -.54729E+01     9  3     .17852E-23
    .13703E+02     9  4     .29923E-23
    .29792E+02     9  5     .50391E-23
    .40971E+02     9  6     .79673E-23
    .43267E+02     9  7     .11117E-22
    .31185E+02     9  8     .19960E-22
    .12630E+02     9  9     .79931E-20
   -.10083E+03    10  1     .26657E-23
   -.52188E+02    10  2     .43020E-23
   -.10391E+02    10  3     .70222E-23
    .26218E+02    10  4     .11662E-22
    .58283E+02    10  5     .19745E-22
    .84686E+02    10  6     .33254E-22
    .10128E+03    10  7     .50640E-22
    .99726E+02    10  8     .63546E-22
    .69014E+02    10  9     .95867E-19
    .27176E+02    10 10     .68713E-19
   -.19396E+03    11  1     .10627E-22
   -.99799E+02    11  2     .17090E-22
   -.19790E+02    11  3     .27732E-22
    .49801E+02    11  4     .45641E-22
    .11143E+03    11  5     .76658E-22
    .16558E+03    11  6     .13133E-21
