variable,standard_name,long_name
lev,,hybrid level at midpoints (1000*(A+B))
ilev,,hybrid level at interfaces (1000*(A+B))
hyai,,hybrid A coefficient at layer interfaces
hybi,,hybrid B coefficient at layer interfaces
hyam,,hybrid A coefficient at layer midpoints
hybm,,hybrid B coefficient at layer midpoints
p_mid,air_pressure,midpoint air pressure
p_mid_at_cldtop,air_pressure_at_cloud_top,midpoint air pressure at the cloud top
T_2m,air_temperature,2 meter air temperature
T_mid,air_temperature,air temperature
T_mid_at_cldtop,air_temperature_at_cloud_top,air temperature at the cloud top
aero_g_sw,asymmetry_factor_of_ambient_aerosol_particles,
pbl_height,atmosphere_boundary_layer_thickness,planetary boundary layer
precip_liq_surf_mass,atmosphere_mass_content_of_liquid_precipitation,total liquid precipitation at the surface
cldlow,low_type_cloud_area_fraction,low altitude cloud area fraction
cldmed,medium_type_cloud_area_fraction,medium altitude cloud area fraction
cldhgh,high_type_cloud_area_fraction,high altitude cloud area fraction
cldtot,cloud_area_fraction,total cloud area fraction
cldfrac_tot_at_cldtop,cloud_area_fraction,total cloud area fraction at cloud top
cldfrac_tot,cloud_area_fraction_in_atmosphere_layer,
cldfrac_tot_for_analysis,cloud_area_fraction_in_atmosphere_layer,
cldfrac_rad,cloud_area_fraction_in_atmosphere_layer,
qi,cloud_ice_mixing_ratio,ice mixing ratio
qc,cloud_liquid_water_mixing_ratio,liquid water mixing ratio
U,eastward_wind,eastward wind
eff_radius_qi,effective_radius_of_cloud_ice_particles,ice particle effective radius
eff_radius_qc,effective_radius_of_cloud_liquid_water_particles,liquid particle effective radius
eff_radius_qc_at_cldtop,effective_radius_of_cloud_liquid_water_particles_at_liquid_water_cloud_top,
eff_radius_qr,effective_radius_of_cloud_rain_particles,rain particle effective radius
qv,humidity_mixing_ratio,water vapor mixing ratio
cldfrac_ice_at_cldtop,ice_cloud_area_fraction,
cldfrac_ice,ice_cloud_area_fraction_in_atmosphere_layer,
omega,lagrangian_tendency_of_air_pressure,
landfrac,land_area_fraction,land fraction
area,cell_area,cell area
lat,latitude,latitude
cldfrac_liq_at_cldtop,liquid_water_cloud_area_fraction,
cldfrac_liq,liquid_water_cloud_area_fraction_in_atmosphere_layer,
lon,longitude,longitude
rainfrac,mass_fraction_of_liquid_precipitation_in_air,
V,northward_wind,northward wind
nc,number_concentration_of_cloud_liquid_water_particles_in_air,liquid particle number concentration
cdnc_at_cldtop,number_concentration_of_cloud_liquid_water_particles_in_air_at_liquid_water_cloud_top,
ni,number_concentration_of_ice_crystals_in_air,ice particle number concentration
aero_tau_sw,optical_thickness_of_atmosphere_layer_due_to_ambient_aerosol_particles,
aero_tau_lw,optical_thickness_of_atmosphere_layer_due_to_ambient_aerosol_particles,
aero_ssa_sw,single_scattering_albedo_in_air_due_to_ambient_aerosol_particles,
sunlit,sunlit_binary_mask,
ps,surface_air_pressure,surface air pressure
LW_flux_dn_at_model_bot,surface_downwelling_longwave_flux_in_air,
SW_flux_dn_at_model_bot,surface_downwelling_shortwave_flux_in_air,
SW_clrsky_flux_dn_at_model_bot,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky,
phis,surface_geopotential,surface geopotential
surf_radiative_T,surface_temperature,
surf_sens_flux,surface_upward_sensible_heat_flux,
SW_flux_dn_at_model_top,toa_incoming_shortwave_flux,
LW_flux_up_at_model_top,toa_outgoing_longwave_flux,
LW_clrsky_flux_up_at_model_top,toa_outgoing_longwave_flux_assuming_clear_sky,
surf_evap,water_evapotranspiration_flux,surface evaporation
AtmosphereDensity,air_density,air density
PotentialTemperature,air_potential_temperature,potential temperature
SeaLevelPressure,air_pressure_at_mean_sea_level,air pressure at sea level
IceWaterPath,atmosphere_mass_content_of_cloud_ice,total ice water path
LiqWaterPath,atmosphere_mass_content_of_cloud_liquid_water,total liquid water path
VapWaterPath,atmosphere_mass_content_of_water_vapor,total water vapor path
AerosolOpticalDepth550nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,
Exner,dimensionless_exner_function,Exner's function
z_mid,geopotential_height,height at layer midpoint
geopotential_mid,geopotential,geopotential at layer midpoint
RelativeHumidity,relative_humidity,relative humidity
surface_upward_latent_heat_flux,surface_upward_latent_heat_flux,upward latent heat flux at the surface
LongwaveCloudForcing,toa_longwave_cloud_radiative_effect,longwave cloud forcing
ShortwaveCloudForcing,toa_shortwave_cloud_radiative_effect,shortwave cloud forcing
VirtualTemperature,virtual_temperature,virtual temperature
VaporFlux,water_evapotranspiration_flux,
wind_speed,wind_speed,wind speed
snow_depth_land,surface_snow_thickness,snow depth over land
