site_code, pft_f1, pft_c1, pft_f2, pft_c2, pft_f3, pft_c3, pft_f4, pft_c4, pft_f5, pft_c5
CA-Ca1, 100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
CA-Ca2, 100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
CA-Ca3, 100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
CA-Oas, 100.0, 7, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
CA-Obs, 100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
CA-Ojp, 100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
CA-Man, 100.0, 2, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
CA-Let, 100.0,12, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
