site,lon,lat,aaod,aae,aod,ae
Univ_of_Houston,-95.34,29.72,0.0051,0.9459,0.1310,1.2547
SEDE_BOKER,34.78,30.86,0.0138,1.2266,0.1767,0.9019
TABLE_MOUNTAIN_CA,-117.68,34.38,0.0040,0.8206,0.0434,1.0609
Tabernas_PSA-DLR,-2.36,37.09,0.0071,1.2472,0.1087,1.0928
Palencia,-4.52,41.99,0.0036,1.0658,0.1066,1.2722
Agoufou,-1.48,15.35,0.0224,2.3708,0.4605,0.2895
REUNION_ST_DENIS,55.48,-20.90,0.0029,0.7365,0.0495,0.6725
ETNA,15.02,37.61,0.0034,1.1786,0.1273,1.1856
Anmyon,126.33,36.54,0.0107,1.0963,0.3645,1.2138
Egbert,-79.78,44.23,0.0056,1.0200,0.1074,1.5391
Sevilleta,-106.89,34.35,0.0045,0.9098,0.0593,1.2615
Banizoumbou,2.67,13.55,0.0234,2.2768,0.4819,0.3325
U_of_Wisconsin_SSEC,-89.41,43.07,0.0049,1.0368,0.1016,1.4206
Mexico_City,-99.18,19.33,0.0155,1.1786,0.2104,1.5562
Arica,-70.31,-18.47,0.0067,0.7210,0.2069,0.9656
DMN_Maine_Soroa,12.02,13.22,0.0383,1.9515,0.4657,0.3398
KAUST_Campus,39.10,22.30,0.0145,2.0083,0.3785,0.6078
Gobabeb,15.04,-23.56,0.0105,1.1423,0.1119,0.9731
Shirahama,135.36,33.69,0.0148,1.0591,0.2496,1.2584
CEILAP-Neuquen,-68.14,-38.95,0.0067,0.8882,0.0470,0.8695
Monterey,-121.85,36.59,0.0088,0.7947,0.1287,0.8845
Izana,-16.50,28.31,0.0013,1.1283,0.0584,0.9511
CalTech,-118.13,34.14,0.0029,0.9255,0.0959,1.1116
SEARCH-Centreville,-87.25,32.90,0.0082,0.9693,0.1245,1.5219
Univ_of_Nevada-Reno,-119.81,39.54,0.0058,0.9250,0.0590,1.3188
